userID,PhaseI,PhaseII,PhaseIII,score,favTopic
2845016384,0,1,0,1.0,SocialNetwork
86369703,1,0,0,0.0499024253356,holiday+home
15452859,1,0,0,0.0450040301852,holiday+xmas+newyear
16529427,0,1,0,0.039164705377,holiday+xmas+newyear
39940842,1,0,0,0.0377128799387,holiday+home
614322634,0,1,0,0.0305622573451,holiday+home
204162470,0,1,0,0.0217614248809,holiday+xmas+newyear
15655027,1,0,0,0.0202130872689,holiday+home
15642916,0,1,0,0.0137437683351,holiday+home
23071342,0,1,0,0.0118164792941,holiday+xmas+newyear
213405395,1,1,0,0.0114766795446,holiday+home
18809624,0,1,0,0.00799839874737,holiday+home
172105978,0,1,0,0.00688136824136,holiday+xmas+newyear
6352222,0,1,0,0.00680714528546,holiday+xmas+newyear
885327019,0,1,0,0.00668484999917,holiday+xmas+newyear
2305468748,0,1,1,0.00594792150711,holiday+home
818155,0,0,0,0.005676045438,holiday+xmas+newyear
19576316,0,1,0,0.00471795544128,holiday+home
300577552,0,1,1,0.00446590364369,holiday+xmas+newyear
71674961,0,1,0,0.00428341183745,holiday+xmas+newyear
4027167933,0,1,0,0.00414239866597,holiday+gift
1525296006,0,1,1,0.00399079151269,holiday+home
15568852,0,1,1,0.00377196650658,holiday+xmas+newyear
68296245,0,1,0,0.0036570764031,holiday+xmas+newyear
123060735,0,0,0,0.00313226680649,holiday+xmas+newyear
3222822031,0,0,0,0.00309089101028,holiday+home
704355078,0,1,0,0.00292148413615,holiday+home
1074008324,0,1,0,0.00283558104519,holiday+xmas+newyear
322059467,0,1,0,0.00275932612906,holiday+xmas+newyear
1093948830,0,1,0,0.00248636569462,holiday+xmas+newyear
56815161,0,1,0,0.00244930710974,holiday+home
172758851,0,0,0,0.00238371115702,holiday+home
19455010,0,1,0,0.00213931696241,holiday+home
421611622,0,1,0,0.00201247090086,holiday+xmas+newyear
20020031,0,1,0,0.00200641231211,holiday+home
2159150539,0,1,0,0.00193090863795,holiday+xmas+newyear
2875700721,0,1,1,0.00187590683987,holiday+xmas+newyear
596504164,0,1,0,0.00152478126292,holiday+xmas+newyear
25605799,0,1,0,0.00147364711273,holiday+xmas+newyear
50037505,0,1,0,0.00145857910383,holiday+xmas+newyear
2314634707,0,1,0,0.0012826269497,holiday+xmas+newyear
20486606,0,1,0,0.00122428004974,holiday+xmas+newyear
32571309,0,1,0,0.00119313524881,holiday+xmas+newyear
2647564096,0,1,0,0.00108248778666,holiday+xmas+newyear
256224751,0,1,1,0.000933458992608,holiday+home
237540915,0,1,0,0.00091189202278,holiday+xmas+newyear
2737126338,0,1,0,0.000858831675208,food
2966848055,0,1,0,0.000854573457984,holiday+xmas+newyear
9054152,0,0,0,0.00080559594193,holiday+home
112468555,0,1,1,0.000744733938318,holiday+xmas+newyear
157448293,0,1,0,0.00058675449949,holiday+xmas+newyear
14292954,0,1,0,0.000570770922119,holiday+gift
3164506695,0,1,0,0.000563594854154,holiday+xmas+newyear
26460305,0,1,1,0.00030714243298,holiday+xmas+newyear
351218463,0,1,0,0.000298629775241,holiday+xmas+newyear
50940501,0,1,0,0.000285290080406,holiday+xmas+newyear
296676049,0,1,1,0.000220973746867,holiday+gift
2821444360,0,1,0,0.00019719074145,holiday+xmas+newyear
2242889774,0,1,1,0.000183356653005,holiday+gift
260232867,0,1,1,0.000157462000896,holiday+xmas+newyear
1255925394,0,1,1,8.49153215336e-05,holiday+gift
2975842495,0,1,1,3.67994322747e-05,holiday+xmas+newyear
1911598638,0,0,0,0.0,holiday+xmas+newyear
3607433660,0,0,0,0.0,holiday+home
3099848394,0,0,0,0.0,holiday+xmas+newyear
1726854992,0,0,0,0.0,holiday+xmas+newyear
3270537818,0,0,0,0.0,holiday+xmas+newyear
1626442182,0,0,0,0.0,holiday+xmas+newyear
3886400655,0,0,0,0.0,holiday+home
4079959038,0,0,0,0.0,holiday+xmas+newyear
1452770046,0,0,0,0.0,holiday+xmas+newyear
1416297667,0,0,0,0.0,holiday+xmas+newyear
4325865021,0,0,0,0.0,holiday+xmas+newyear
2427263750,0,0,0,0.0,holiday+home
2321409607,0,0,0,0.0,holiday+xmas+newyear
2329507819,0,0,0,0.0,holiday+xmas+newyear
2355289398,0,0,0,0.0,holiday+xmas+newyear
2388901877,0,0,0,0.0,holiday+xmas+newyear
3256043222,0,0,0,0.0,holiday+home
2537681188,0,0,0,0.0,holiday+xmas+newyear
2555217416,0,0,0,0.0,holiday+gift
4281221712,0,0,0,0.0,holiday+xmas+newyear
3148349701,0,0,0,0.0,holiday+gift
2915031318,0,0,0,0.0,holiday+home
2937924029,0,0,0,0.0,holiday+gift
3145249974,0,0,0,0.0,food+cook
4176337750,0,0,0,0.0,holiday+xmas+newyear
1373835020,0,0,0,0.0,holiday+xmas+newyear
2994683279,0,0,0,0.0,holiday+xmas+newyear
1374601428,0,0,0,0.0,holiday+xmas+newyear
478913740,0,0,0,0.0,holiday+xmas+newyear
1267810070,0,0,0,0.0,holiday+xmas+newyear
1264656030,0,0,0,0.0,holiday+xmas+newyear
311753127,0,0,0,0.0,holiday+xmas+newyear
310080433,0,0,0,0.0,holiday+home
278703055,0,0,0,0.0,holiday+xmas+newyear
218713117,0,0,0,0.0,holiday+xmas+newyear
172759774,0,0,0,0.0,holiday+home
163688274,0,0,0,0.0,holiday+xmas+newyear
141323179,0,0,0,0.0,holiday+home
140241017,0,0,0,0.0,holiday+gift
95202996,0,0,0,0.0,holiday+xmas+newyear
83057554,0,0,0,0.0,holiday+xmas+newyear
80365316,0,0,0,0.0,food
49559323,0,0,0,0.0,holiday+gift
35075210,0,0,0,0.0,holiday+xmas+newyear
23241541,0,0,0,0.0,holiday+home
22981009,0,0,0,0.0,holiday+home
20253942,0,0,0,0.0,holiday+home
16145224,0,0,0,0.0,food+cook
15682352,0,0,0,0.0,holiday+home
7121092,0,0,0,0.0,holiday+home
315098670,0,0,0,0.0,holiday+xmas+newyear
319809082,0,0,0,0.0,holiday+xmas+newyear
343461487,0,0,0,0.0,holiday+xmas+newyear
601155306,0,0,0,0.0,holiday+home
1237091292,0,0,0,0.0,holiday+xmas+newyear
1206130309,0,0,0,0.0,holiday+gift
1013215946,0,0,0,0.0,holiday+xmas+newyear
992310427,0,0,0,0.0,holiday+gift
884847343,0,0,0,0.0,holiday+gift
873932130,0,0,0,0.0,holiday+xmas+newyear
873828446,0,0,0,0.0,food
613382039,0,0,0,0.0,holiday+xmas+newyear
577256073,0,0,0,0.0,food
361177282,0,0,0,0.0,holiday+gift
539978648,0,0,0,0.0,holiday+home
486910069,0,0,0,0.0,holiday+gift
485285490,0,0,0,0.0,holiday+home
483195215,0,0,0,0.0,holiday+xmas+newyear
424594348,0,0,0,0.0,holiday+xmas+newyear
408865337,0,0,0,0.0,holiday+gift
390197534,0,0,0,0.0,holiday+home
374855929,0,0,0,0.0,holiday+gift
4471175473,0,0,0,0.0,holiday+gift
