target,source,status,count,phase,source_travel,target_travel
6352222,86369703,YES,1,2,0.019547537041,0.00034756863344
16529427,86369703,YES,1,2,0.019547537041,0.00126564630731
18809624,86369703,YES,34,2,0.019547537041,0.00448427998498
19455010,86369703,YES,2,2,0.019547537041,0.00414514540365
19576316,86369703,YES,1,2,0.019547537041,0.00429507744149
20486606,86369703,YES,2,2,0.019547537041,0.000983289334046
32571309,86369703,YES,1,2,0.019547537041,0.0014914180323
157448293,86369703,YES,1,2,0.019547537041,0.0
172105978,86369703,YES,1,2,0.019547537041,0.0095657438179
15664368,21586778,YES,2,2,0.0185467020042,0.0
25228712,21586778,YES,2,2,0.0185467020042,0.0
32672170,21586778,YES,8,2,0.0185467020042,0.0
35953296,21586778,YES,6,2,0.0185467020042,0.00170644524917
38475879,21586778,YES,8,2,0.0185467020042,0.0
85998031,21586778,YES,2,2,0.0185467020042,0.000728599603685
104205235,21586778,YES,1,2,0.0185467020042,0.0
110254814,21586778,YES,1,2,0.0185467020042,0.0
126989814,21586778,YES,27,2,0.0185467020042,0.0130085232724
247134354,21586778,YES,8,2,0.0185467020042,0.000791134034198
297133791,21586778,YES,6,2,0.0185467020042,0.0
453452012,21586778,YES,1,2,0.0185467020042,0.00659446431193
626210752,21586778,YES,34,2,0.0185467020042,0.0
3135722355,21586778,YES,4,2,0.0185467020042,0.0
3486496099,21586778,YES,2,2,0.0185467020042,0.0
701233,7121092,YES,2,2,0.00766446045794,0.0
1354631,7121092,YES,1,2,0.00766446045794,0.0
7483262,7121092,YES,1,2,0.00766446045794,0.0001539540003
11922222,7121092,YES,1,2,0.00766446045794,0.000979839847976
14227896,7121092,YES,2,2,0.00766446045794,0.00416700852381
15773072,7121092,YES,1,2,0.00766446045794,0.00579527714716
16001022,7121092,YES,2,2,0.00766446045794,0.0
19259058,7121092,YES,1,2,0.00766446045794,0.00887237578854
19270838,7121092,YES,2,2,0.00766446045794,0.00189328365
21238828,7121092,YES,1,2,0.00766446045794,0.0
24990869,7121092,YES,6,2,0.00766446045794,0.0
29547150,7121092,YES,3,2,0.00766446045794,0.0
29646382,7121092,YES,10,2,0.00766446045794,0.00423395469976
31736700,7121092,YES,11,2,0.00766446045794,0.0
35014644,7121092,YES,1,2,0.00766446045794,0.0
36592529,7121092,YES,4,2,0.00766446045794,0.00289495847887
39393024,7121092,YES,2,2,0.00766446045794,0.0
39940842,7121092,YES,28,2,0.00766446045794,0.00440148768573
45796182,7121092,YES,5,2,0.00766446045794,0.0072167499261
48754048,7121092,YES,2,2,0.00766446045794,0.0
56102549,7121092,YES,2,2,0.00766446045794,0.00138668899419
89321553,7121092,YES,1,2,0.00766446045794,0.000201132582725
94853204,7121092,YES,4,2,0.00766446045794,0.0163555009331
102816998,7121092,YES,1,2,0.00766446045794,0.00159329470366
107626769,7121092,YES,2,2,0.00766446045794,0.00556212610752
128721452,7121092,YES,3,2,0.00766446045794,0.0016550743156
137694679,7121092,YES,1,2,0.00766446045794,0.00363068879672
144101650,7121092,YES,1,2,0.00766446045794,0.000113615019143
147026000,7121092,YES,2,2,0.00766446045794,0.0104419851305
177454156,7121092,YES,1,2,0.00766446045794,0.0
202211291,7121092,YES,9,2,0.00766446045794,0.00324932953803
214185444,7121092,YES,4,2,0.00766446045794,0.0
230606505,7121092,YES,8,2,0.00766446045794,0.0
254592252,7121092,YES,2,2,0.00766446045794,0.0
256835387,7121092,YES,3,2,0.00766446045794,0.00457968095448
262566706,7121092,YES,1,2,0.00766446045794,0.0109300149411
269515121,7121092,YES,5,2,0.00766446045794,0.00210726258388
306944590,7121092,YES,3,2,0.00766446045794,0.00332988724363
325609556,7121092,YES,4,2,0.00766446045794,0.0050749955914
370618414,7121092,YES,7,2,0.00766446045794,0.000821634543643
398915762,7121092,YES,1,2,0.00766446045794,0.0
483195215,7121092,YES,14,2,0.00766446045794,0.00272867827856
497101636,7121092,YES,8,2,0.00766446045794,0.0
540244828,7121092,YES,9,2,0.00766446045794,0.000693443398432
818798281,7121092,YES,1,2,0.00766446045794,0.00860669685721
919046790,7121092,YES,1,2,0.00766446045794,0.00817715304964
950340409,7121092,YES,5,2,0.00766446045794,0.0
1093948830,7121092,YES,1,2,0.00766446045794,0.0
1195403648,7121092,YES,2,2,0.00766446045794,0.0105075526468
1902678374,7121092,YES,33,2,0.00766446045794,0.00429454770788
2242816321,7121092,YES,2,2,0.00766446045794,0.0
2815544564,7121092,YES,32,2,0.00766446045794,0.00230708932615
2828638621,7121092,YES,2,2,0.00766446045794,0.0080983815065
2915031318,7121092,YES,4,2,0.00766446045794,0.0112911963185
2954196531,7121092,YES,12,2,0.00766446045794,0.0
3008274374,7121092,YES,6,2,0.00766446045794,0.0
3010573975,7121092,YES,2,2,0.00766446045794,0.00241129322384
3015271772,7121092,YES,1,2,0.00766446045794,0.00186871480674
3114344983,7121092,YES,1,2,0.00766446045794,0.0194718077302
3184646412,7121092,YES,6,2,0.00766446045794,0.0
3886400655,7121092,YES,4,2,0.00766446045794,0.0
10609,18809624,YES,1,2,0.00448427998498,0.00214629394367
14834802,18809624,YES,1,2,0.00448427998498,0.00328874406591
24858136,18809624,YES,3,2,0.00448427998498,0.00296960986324
25415300,18809624,YES,4,2,0.00448427998498,0.0576091678722
26642880,18809624,YES,2,2,0.00448427998498,0.00246630757829
36079205,18809624,YES,2,2,0.00448427998498,0.00553294251749
64198441,18809624,YES,2,2,0.00448427998498,0.00500386228354
72551711,18809624,YES,38,2,0.00448427998498,0.0407060625159
86369703,18809624,YES,28,2,0.00448427998498,0.019547537041
123060735,18809624,YES,6,2,0.00448427998498,0.0
253808421,18809624,YES,6,2,0.00448427998498,0.00399972391634
255867233,18809624,YES,1,2,0.00448427998498,0.0
316003597,18809624,YES,6,2,0.00448427998498,0.00654075812145
492769186,18809624,YES,2,2,0.00448427998498,0.00817698498742
771705403,18809624,YES,4,2,0.00448427998498,0.0363528198012
1393470344,18809624,YES,2,2,0.00448427998498,0.00467764389278
2266902161,18809624,YES,1,2,0.00448427998498,0.00541554891678
2308668493,18809624,YES,2,2,0.00448427998498,0.00401021657705
2875700721,18809624,YES,8,2,0.00448427998498,0.042757573847
3755466376,18809624,YES,2,2,0.00448427998498,0.047771116529
3857155036,18809624,YES,1,2,0.00448427998498,0.0
4240644436,18809624,YES,2,2,0.00448427998498,0.00440099177459
4359621815,18809624,YES,2,2,0.00448427998498,0.0
20020031,39940842,YES,3,2,0.00440148768573,0.00623242150006
25605799,39940842,YES,4,2,0.00440148768573,0.0
50940501,39940842,YES,1,2,0.00440148768573,0.0
56815161,39940842,YES,3,2,0.00440148768573,0.0
71674961,39940842,YES,3,2,0.00440148768573,0.00586875329513
80365316,39940842,YES,2,2,0.00440148768573,0.0
95202996,39940842,YES,4,2,0.00440148768573,0.0
237540915,39940842,YES,1,2,0.00440148768573,0.0
278703055,39940842,YES,24,2,0.00440148768573,0.0
315098670,39940842,YES,14,2,0.00440148768573,0.0103147378186
322059467,39940842,YES,2,2,0.00440148768573,0.00751348945342
343461487,39940842,YES,4,2,0.00440148768573,0.00551344530042
421611622,39940842,YES,1,2,0.00440148768573,0.0
424594348,39940842,YES,4,2,0.00440148768573,0.0
577256073,39940842,YES,2,2,0.00440148768573,0.0
596504164,39940842,YES,2,2,0.00440148768573,0.0
614322634,39940842,YES,2,2,0.00440148768573,0.00259371026796
873932130,39940842,YES,2,2,0.00440148768573,0.000641608616559
885327019,39940842,YES,1,2,0.00440148768573,0.00794341547104
1013215946,39940842,YES,2,2,0.00440148768573,0.00387776931652
1074008324,39940842,YES,5,2,0.00440148768573,0.00839590654464
1093948830,39940842,YES,2,2,0.00440148768573,0.0
1267810070,39940842,YES,1,2,0.00440148768573,0.0158071506925
1373835020,39940842,YES,1,2,0.00440148768573,0.0103694520078
1626442182,39940842,YES,1,2,0.00440148768573,0.0
1726854992,39940842,YES,1,2,0.00440148768573,0.0
1911598638,39940842,YES,2,2,0.00440148768573,0.0
2159150539,39940842,YES,2,2,0.00440148768573,0.00174250995076
2314634707,39940842,YES,2,2,0.00440148768573,0.00609250016941
2321409607,39940842,YES,4,2,0.00440148768573,0.0
2355289398,39940842,YES,10,2,0.00440148768573,0.0109228790366
2537681188,39940842,YES,2,2,0.00440148768573,0.0
2647564096,39940842,YES,2,2,0.00440148768573,0.00639127295188
2737126338,39940842,YES,2,2,0.00440148768573,0.00457487667053
2821444360,39940842,YES,1,2,0.00440148768573,0.0
2966848055,39940842,YES,2,2,0.00440148768573,0.0
2994683279,39940842,YES,2,2,0.00440148768573,0.0183058241834
3099848394,39940842,YES,2,2,0.00440148768573,0.000312762244357
3164506695,39940842,YES,1,2,0.00440148768573,0.0
3270537818,39940842,YES,2,2,0.00440148768573,0.0
3607433660,39940842,YES,2,2,0.00440148768573,0.00872144745171
3886400655,39940842,YES,4,2,0.00440148768573,0.0
4079959038,39940842,YES,1,2,0.00440148768573,0.00289919071089
4176337750,39940842,YES,12,2,0.00440148768573,0.017910141084
4281221712,39940842,YES,4,2,0.00440148768573,0.0
4325865021,39940842,YES,4,2,0.00440148768573,0.00614972708313
39940842,253988907,Follower of Secondary_User,2,3,0.110453139019,0.00440148768573
14834802,72551711,Follower of Secondary_User,1,3,0.0407060625159,0.00328874406591
771705403,72551711,Follower of Secondary_User,2,3,0.0407060625159,0.0363528198012
3755466376,72551711,Follower of Secondary_User,2,3,0.0407060625159,0.047771116529
6352222,86369703,YES,1,3,0.019547537041,0.00034756863344
16529427,86369703,YES,1,3,0.019547537041,0.00126564630731
18809624,86369703,YES,34,3,0.019547537041,0.00448427998498
19455010,86369703,YES,2,3,0.019547537041,0.00414514540365
19576316,86369703,YES,1,3,0.019547537041,0.00429507744149
20486606,86369703,YES,2,3,0.019547537041,0.000983289334046
32571309,86369703,YES,1,3,0.019547537041,0.0014914180323
157448293,86369703,YES,1,3,0.019547537041,0.0
172105978,86369703,YES,1,3,0.019547537041,0.0095657438179
15664368,21586778,YES,2,3,0.0185467020042,0.0
25228712,21586778,YES,2,3,0.0185467020042,0.0
32672170,21586778,YES,8,3,0.0185467020042,0.0
35953296,21586778,YES,6,3,0.0185467020042,0.00170644524917
38475879,21586778,YES,8,3,0.0185467020042,0.0
85998031,21586778,YES,2,3,0.0185467020042,0.000728599603685
104205235,21586778,YES,1,3,0.0185467020042,0.0
110254814,21586778,YES,1,3,0.0185467020042,0.0
126989814,21586778,YES,27,3,0.0185467020042,0.0130085232724
247134354,21586778,YES,8,3,0.0185467020042,0.000791134034198
297133791,21586778,YES,6,3,0.0185467020042,0.0
453452012,21586778,YES,1,3,0.0185467020042,0.00659446431193
626210752,21586778,YES,34,3,0.0185467020042,0.0
3135722355,21586778,YES,4,3,0.0185467020042,0.0
3486496099,21586778,YES,2,3,0.0185467020042,0.0
39940842,175050801,Follower of Secondary_User,2,3,0.0175003279661,0.00440148768573
39940842,188045467,Follower of Secondary_User,2,3,0.0161749257602,0.00440148768573
39940842,1267810070,Follower of Secondary_User,2,3,0.0158071506925,0.00440148768573
39940842,188287383,Follower of Secondary_User,2,3,0.0135629933902,0.00440148768573
39940842,2885119072,Follower of Secondary_User,2,3,0.0107822645201,0.00440148768573
483195215,3299404571,Follower of Secondary_User,2,3,0.0091298632492,0.00272867827856
86369703,22887535,Follower of Secondary_User,2,3,0.00840701665173,0.019547537041
39940842,1074008324,Follower of Secondary_User,2,3,0.00839590654464,0.00440148768573
701233,7121092,YES,2,3,0.00766446045794,0.0
1354631,7121092,YES,1,3,0.00766446045794,0.0
7483262,7121092,YES,1,3,0.00766446045794,0.0001539540003
11922222,7121092,YES,1,3,0.00766446045794,0.000979839847976
14227896,7121092,YES,2,3,0.00766446045794,0.00416700852381
15773072,7121092,YES,1,3,0.00766446045794,0.00579527714716
16001022,7121092,YES,2,3,0.00766446045794,0.0
19259058,7121092,YES,1,3,0.00766446045794,0.00887237578854
19270838,7121092,YES,2,3,0.00766446045794,0.00189328365
21238828,7121092,YES,1,3,0.00766446045794,0.0
24990869,7121092,YES,6,3,0.00766446045794,0.0
29547150,7121092,YES,3,3,0.00766446045794,0.0
29646382,7121092,YES,10,3,0.00766446045794,0.00423395469976
31736700,7121092,YES,11,3,0.00766446045794,0.0
35014644,7121092,YES,1,3,0.00766446045794,0.0
36592529,7121092,YES,4,3,0.00766446045794,0.00289495847887
39393024,7121092,YES,2,3,0.00766446045794,0.0
39940842,7121092,YES,28,3,0.00766446045794,0.00440148768573
45796182,7121092,YES,5,3,0.00766446045794,0.0072167499261
48754048,7121092,YES,2,3,0.00766446045794,0.0
56102549,7121092,YES,2,3,0.00766446045794,0.00138668899419
89321553,7121092,YES,1,3,0.00766446045794,0.000201132582725
94853204,7121092,YES,4,3,0.00766446045794,0.0163555009331
102816998,7121092,YES,1,3,0.00766446045794,0.00159329470366
107626769,7121092,YES,2,3,0.00766446045794,0.00556212610752
128721452,7121092,YES,3,3,0.00766446045794,0.0016550743156
137694679,7121092,YES,1,3,0.00766446045794,0.00363068879672
144101650,7121092,YES,1,3,0.00766446045794,0.000113615019143
147026000,7121092,YES,2,3,0.00766446045794,0.0104419851305
177454156,7121092,YES,1,3,0.00766446045794,0.0
202211291,7121092,YES,9,3,0.00766446045794,0.00324932953803
214185444,7121092,YES,4,3,0.00766446045794,0.0
230606505,7121092,YES,8,3,0.00766446045794,0.0
254592252,7121092,YES,2,3,0.00766446045794,0.0
256835387,7121092,YES,3,3,0.00766446045794,0.00457968095448
262566706,7121092,YES,1,3,0.00766446045794,0.0109300149411
269515121,7121092,YES,5,3,0.00766446045794,0.00210726258388
306944590,7121092,YES,3,3,0.00766446045794,0.00332988724363
325609556,7121092,YES,4,3,0.00766446045794,0.0050749955914
370618414,7121092,YES,7,3,0.00766446045794,0.000821634543643
398915762,7121092,YES,1,3,0.00766446045794,0.0
483195215,7121092,YES,14,3,0.00766446045794,0.00272867827856
497101636,7121092,YES,8,3,0.00766446045794,0.0
540244828,7121092,YES,9,3,0.00766446045794,0.000693443398432
818798281,7121092,YES,1,3,0.00766446045794,0.00860669685721
919046790,7121092,YES,1,3,0.00766446045794,0.00817715304964
950340409,7121092,YES,5,3,0.00766446045794,0.0
1093948830,7121092,YES,1,3,0.00766446045794,0.0
1195403648,7121092,YES,2,3,0.00766446045794,0.0105075526468
1902678374,7121092,YES,33,3,0.00766446045794,0.00429454770788
2242816321,7121092,YES,2,3,0.00766446045794,0.0
2815544564,7121092,YES,32,3,0.00766446045794,0.00230708932615
2828638621,7121092,YES,2,3,0.00766446045794,0.0080983815065
2915031318,7121092,YES,4,3,0.00766446045794,0.0112911963185
2954196531,7121092,YES,12,3,0.00766446045794,0.0
3008274374,7121092,YES,6,3,0.00766446045794,0.0
3010573975,7121092,YES,2,3,0.00766446045794,0.00241129322384
3015271772,7121092,YES,1,3,0.00766446045794,0.00186871480674
3114344983,7121092,YES,1,3,0.00766446045794,0.0194718077302
3184646412,7121092,YES,6,3,0.00766446045794,0.0
3886400655,7121092,YES,4,3,0.00766446045794,0.0
483195215,316003597,Follower of Secondary_User,2,3,0.00654075812145,0.00272867827856
483195215,1645740925,Follower of Secondary_User,2,3,0.0063500187416,0.00272867827856
39940842,20020031,Follower of Secondary_User,2,3,0.00623242150006,0.00440148768573
39940842,1437735956,Follower of Secondary_User,2,3,0.00599445517599,0.00440148768573
39940842,71674961,Follower of Secondary_User,2,3,0.00586875329513,0.00440148768573
39940842,23851343,Follower of Secondary_User,2,3,0.00520420889231,0.00440148768573
39940842,65207600,Follower of Secondary_User,2,3,0.00516142696378,0.00440148768573
39940842,180392529,Follower of Secondary_User,2,3,0.0051020725646,0.00440148768573
39940842,1738084020,Follower of Secondary_User,2,3,0.00483682896077,0.00440148768573
39940842,2737126338,Follower of Secondary_User,2,3,0.00457487667053,0.00440148768573
483195215,2737126338,Follower of Secondary_User,2,3,0.00457487667053,0.00272867827856
10609,18809624,YES,1,3,0.00448427998498,0.00214629394367
14834802,18809624,YES,1,3,0.00448427998498,0.00328874406591
24858136,18809624,YES,3,3,0.00448427998498,0.00296960986324
25415300,18809624,YES,4,3,0.00448427998498,0.0576091678722
26642880,18809624,YES,2,3,0.00448427998498,0.00246630757829
36079205,18809624,YES,2,3,0.00448427998498,0.00553294251749
64198441,18809624,YES,2,3,0.00448427998498,0.00500386228354
72551711,18809624,YES,38,3,0.00448427998498,0.0407060625159
86369703,18809624,YES,28,3,0.00448427998498,0.019547537041
123060735,18809624,YES,6,3,0.00448427998498,0.0
253808421,18809624,YES,6,3,0.00448427998498,0.00399972391634
255867233,18809624,YES,1,3,0.00448427998498,0.0
316003597,18809624,YES,6,3,0.00448427998498,0.00654075812145
492769186,18809624,YES,2,3,0.00448427998498,0.00817698498742
771705403,18809624,YES,4,3,0.00448427998498,0.0363528198012
1393470344,18809624,YES,2,3,0.00448427998498,0.00467764389278
2266902161,18809624,YES,1,3,0.00448427998498,0.00541554891678
2308668493,18809624,YES,2,3,0.00448427998498,0.00401021657705
2875700721,18809624,YES,8,3,0.00448427998498,0.042757573847
3755466376,18809624,YES,2,3,0.00448427998498,0.047771116529
3857155036,18809624,YES,1,3,0.00448427998498,0.0
4240644436,18809624,YES,2,3,0.00448427998498,0.00440099177459
4359621815,18809624,YES,2,3,0.00448427998498,0.0
39940842,2318347284,Follower of Secondary_User,2,3,0.00443638412751,0.00440148768573
20020031,39940842,YES,3,3,0.00440148768573,0.00623242150006
25605799,39940842,YES,4,3,0.00440148768573,0.0
50940501,39940842,YES,1,3,0.00440148768573,0.0
56815161,39940842,YES,3,3,0.00440148768573,0.0
71674961,39940842,YES,3,3,0.00440148768573,0.00586875329513
80365316,39940842,YES,2,3,0.00440148768573,0.0
95202996,39940842,YES,4,3,0.00440148768573,0.0
237540915,39940842,YES,1,3,0.00440148768573,0.0
278703055,39940842,YES,24,3,0.00440148768573,0.0
315098670,39940842,YES,14,3,0.00440148768573,0.0103147378186
322059467,39940842,YES,2,3,0.00440148768573,0.00751348945342
343461487,39940842,YES,4,3,0.00440148768573,0.00551344530042
421611622,39940842,YES,1,3,0.00440148768573,0.0
424594348,39940842,YES,4,3,0.00440148768573,0.0
577256073,39940842,YES,2,3,0.00440148768573,0.0
596504164,39940842,YES,2,3,0.00440148768573,0.0
614322634,39940842,YES,2,3,0.00440148768573,0.00259371026796
873932130,39940842,YES,2,3,0.00440148768573,0.000641608616559
885327019,39940842,YES,1,3,0.00440148768573,0.00794341547104
1013215946,39940842,YES,2,3,0.00440148768573,0.00387776931652
1074008324,39940842,YES,5,3,0.00440148768573,0.00839590654464
1093948830,39940842,YES,2,3,0.00440148768573,0.0
1267810070,39940842,YES,1,3,0.00440148768573,0.0158071506925
1373835020,39940842,YES,1,3,0.00440148768573,0.0103694520078
1626442182,39940842,YES,1,3,0.00440148768573,0.0
1726854992,39940842,YES,1,3,0.00440148768573,0.0
1911598638,39940842,YES,2,3,0.00440148768573,0.0
2159150539,39940842,YES,2,3,0.00440148768573,0.00174250995076
2314634707,39940842,YES,2,3,0.00440148768573,0.00609250016941
2321409607,39940842,YES,4,3,0.00440148768573,0.0
2355289398,39940842,YES,10,3,0.00440148768573,0.0109228790366
2537681188,39940842,YES,2,3,0.00440148768573,0.0
2647564096,39940842,YES,2,3,0.00440148768573,0.00639127295188
2737126338,39940842,YES,2,3,0.00440148768573,0.00457487667053
2821444360,39940842,YES,1,3,0.00440148768573,0.0
2966848055,39940842,YES,2,3,0.00440148768573,0.0
2994683279,39940842,YES,2,3,0.00440148768573,0.0183058241834
3099848394,39940842,YES,2,3,0.00440148768573,0.000312762244357
3164506695,39940842,YES,1,3,0.00440148768573,0.0
3270537818,39940842,YES,2,3,0.00440148768573,0.0
3607433660,39940842,YES,2,3,0.00440148768573,0.00872144745171
3886400655,39940842,YES,4,3,0.00440148768573,0.0
4079959038,39940842,YES,1,3,0.00440148768573,0.00289919071089
4176337750,39940842,YES,12,3,0.00440148768573,0.017910141084
4281221712,39940842,YES,4,3,0.00440148768573,0.0
4325865021,39940842,YES,4,3,0.00440148768573,0.00614972708313
39940842,546019948,Follower of Secondary_User,2,3,0.00410374334211,0.00440148768573
36079205,253808421,Follower of Secondary_User,2,3,0.00399972391634,0.00553294251749
39940842,196605786,Follower of Secondary_User,2,3,0.00370841332578,0.00440148768573
39940842,2301583963,Follower of Secondary_User,2,3,0.00360208163644,0.00440148768573
39940842,797569158,Follower of Secondary_User,2,3,0.00337825880661,0.00440148768573
48754048,4468512974,Follower of Secondary_User,2,3,0.00329000793627,0.0
483195215,35075210,Follower of Secondary_User,2,3,0.00316265259454,0.00272867827856
39940842,343500261,Follower of Secondary_User,2,3,0.00293505787146,0.00440148768573
39940842,4079959038,Follower of Secondary_User,2,3,0.00289919071089,0.00440148768573
36079205,18478105,YES,2,3,0.00282338596253,0.00553294251749
24990869,483195215,YES,28,3,0.00272867827856,0.0
36079205,483195215,YES,8,3,0.00272867827856,0.00553294251749
39940842,483195215,YES,22,3,0.00272867827856,0.00440148768573
80365316,483195215,YES,2,3,0.00272867827856,0.0
89321553,483195215,YES,9,3,0.00272867827856,0.000201132582725
144101650,483195215,YES,8,3,0.00272867827856,0.000113615019143
147026000,483195215,YES,2,3,0.00272867827856,0.0104419851305
177454156,483195215,YES,3,3,0.00272867827856,0.0
315098670,483195215,YES,2,3,0.00272867827856,0.0103147378186
540244828,483195215,YES,1,3,0.00272867827856,0.000693443398432
577256073,483195215,YES,2,3,0.00272867827856,0.0
818798281,483195215,YES,16,3,0.00272867827856,0.00860669685721
919046790,483195215,YES,13,3,0.00272867827856,0.00817715304964
1902678374,483195215,YES,174,3,0.00272867827856,0.00429454770788
2647564096,483195215,YES,6,3,0.00272867827856,0.00639127295188
2821444360,483195215,YES,1,3,0.00272867827856,0.0
3008274374,483195215,YES,4,3,0.00272867827856,0.0
3010573975,483195215,YES,12,3,0.00272867827856,0.00241129322384
3099848394,483195215,YES,2,3,0.00272867827856,0.000312762244357
3184646412,483195215,YES,13,3,0.00272867827856,0.0
3270537818,483195215,YES,2,3,0.00272867827856,0.0
3886400655,483195215,YES,4,3,0.00272867827856,0.0
2815544564,3285715692,Follower of Secondary_User,2,3,0.00254493964497,0.00230708932615
39940842,35534534,Follower of Secondary_User,2,3,0.00250210293948,0.00440148768573
483195215,35534534,Follower of Secondary_User,2,3,0.00250210293948,0.00272867827856
39940842,346423170,Follower of Secondary_User,2,3,0.00249032257383,0.00440148768573
39940842,309805419,Follower of Secondary_User,2,3,0.00224263685891,0.00440148768573
483195215,309805419,Follower of Secondary_User,2,3,0.00224263685891,0.00272867827856
39940842,2159150539,Follower of Secondary_User,2,3,0.00174250995076,0.00440148768573
2915031318,213405395,YES,2,3,0.00130334321591,0.0112911963185
39940842,72604692,Follower of Secondary_User,2,3,0.00108066083298,0.00440148768573
18809624,15655027,YES,2,3,0.000926333072275,0.00448427998498
2875700721,15655027,YES,2,3,0.000926333072275,0.042757573847
4281221712,15655027,YES,2,3,0.000926333072275,0.0
2915031318,873828446,YES,10,3,0.000173623512763,0.0112911963185
3607433660,172758851,YES,2,3,0.000154042521579,0.00872144745171
39940842,1548726937,Follower of Secondary_User,2,3,0.000147766502186,0.00440148768573
18809624,818155,YES,2,3,0.00011791460911,0.00448427998498
85998031,818155,YES,2,3,0.00011791460911,0.000728599603685
14834802,123060735,Follower of Secondary_User,1,3,0.0,0.00328874406591
18809624,123060735,Follower of Secondary_User,2,3,0.0,0.00448427998498
39940842,37086460,Follower of Secondary_User,2,3,0.0,0.00440148768573
39940842,328255580,Follower of Secondary_User,2,3,0.0,0.00440148768573
39940842,424594348,Follower of Secondary_User,2,3,0.0,0.00440148768573
39940842,546475278,Follower of Secondary_User,2,3,0.0,0.00440148768573
39940842,577256073,Follower of Secondary_User,2,3,0.0,0.00440148768573
39940842,596504164,Follower of Secondary_User,2,3,0.0,0.00440148768573
39940842,1072279861,Follower of Secondary_User,2,3,0.0,0.00440148768573
39940842,1093948830,Follower of Secondary_User,2,3,0.0,0.00440148768573
39940842,1456958761,Follower of Secondary_User,2,3,0.0,0.00440148768573
39940842,2537217065,Follower of Secondary_User,2,3,0.0,0.00440148768573
39940842,2796452978,Follower of Secondary_User,2,3,0.0,0.00440148768573
39940842,2939842019,Follower of Secondary_User,2,3,0.0,0.00440148768573
39940842,2989115624,Follower of Secondary_User,2,3,0.0,0.00440148768573
39940842,3814956857,Follower of Secondary_User,2,3,0.0,0.00440148768573
56102549,22981009,YES,2,3,0.0,0.00138668899419
56102549,23241541,YES,2,3,0.0,0.00138668899419
56102549,260773660,YES,2,3,0.0,0.00138668899419
72551711,123060735,Follower of Secondary_User,2,3,0.0,0.0407060625159
483195215,306775372,Follower of Secondary_User,2,3,0.0,0.00272867827856
483195215,521887162,Follower of Secondary_User,2,3,0.0,0.00272867827856
483195215,2377950579,Follower of Secondary_User,2,3,0.0,0.00272867827856
483195215,3314065008,Follower of Secondary_User,2,3,0.0,0.00272867827856
483195215,4817732068,Follower of Secondary_User,2,3,0.0,0.00272867827856
3008274374,22981009,YES,4,3,0.0,0.0
483195215,53442069,Follower of Secondary_User,2,3,,0.00272867827856
483195215,200169433,Follower of Secondary_User,2,3,,0.00272867827856
483195215,227313514,Follower of Secondary_User,2,3,,0.00272867827856
483195215,612072331,Follower of Secondary_User,2,3,,0.00272867827856
483195215,1033339860,Follower of Secondary_User,2,3,,0.00272867827856
483195215,3555487698,Follower of Secondary_User,2,3,,0.00272867827856
483195215,3572991261,Follower of Secondary_User,2,3,,0.00272867827856
